"apcmv1-plg1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 2","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-scg1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","@{Parent=apcmv1-scg1; Name=Floppy drive 1; ConnectionState=NotConnected, GuestControl, NoStartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 3","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vcf","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 4","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-artd-mcm30375-244290817437","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","@{Parent=apcmv1-vrc-artd-mcm30375-244290817437; Name=Floppy drive 1; ConnectionState=NotConnected, GuestControl, NoStartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 5","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-artp-mcm2416732-244913092945","ftEncryptionOpportunistic","Not Set","Not Set","Not Set","@{Parent=apcmv1-vrc-artp-mcm2416732-244913092945; Name=Floppy drive 1; ConnectionState=NotConnected, GuestControl, NoStartConnected}","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 6","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-awxd","ftEncryptionOpportunistic","Not Set","Not Set","USB controller ","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 7","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-awxp","ftEncryptionOpportunistic","Not Set","Not Set","Floppy drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 8","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-cld1","ftEncryptionOpportunistic","Not Set","Not Set","SATA controller 0","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 9","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-cldd1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 10","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
"apcmv1-vrc-ext1","ftEncryptionOpportunistic","Not Set","Not Set","CD/DVD drive 1","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","opportunistic","Not Set","Not Set","Not Set","Not Set","Not Set","TRUE","Hard disk 11","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set","Not Set"
